"wage"	"education"	"experience"	"age"	"married"	"south"	"manufacture"	"female"
4.55	13	33	52	1	0	0	1
9	12	16	34	1	0	0	0
13.33	18	10	34	1	0	0	0
15	14	22	42	0	0	0	0
7.5	14	2	22	0	0	0	0
4.25	12	29	47	1	1	0	1
12.5	12	43	61	1	0	1	0
5.13	12	5	23	1	0	0	1
3.35	16	14	36	1	1	0	1
11.11	12	28	46	1	1	0	0
3.84	11	25	42	1	1	0	1
6.4	12	45	63	1	0	0	1
5.56	14	5	25	0	1	0	0
10	12	20	38	1	1	1	0
5.65	16	6	28	1	0	0	1
11.5	16	16	38	1	0	0	0
3.5	11	33	50	1	0	0	1
3.35	13	2	21	1	1	0	1
4.75	12	10	28	0	1	0	1
19.98	14	44	64	1	1	0	0
3.5	14	6	26	1	1	0	1
4	12	15	33	0	0	0	1
7	12	5	23	1	0	0	0
6.25	13	4	23	1	0	1	1
4.5	14	14	34	1	0	0	0
14.29	14	32	52	1	0	0	1
5	12	14	32	1	0	0	1
13.75	14	21	41	1	0	0	0
13.71	12	43	61	1	0	0	0
7.5	12	27	45	1	1	0	1
3.8	12	4	22	0	0	0	1
5	14	0	20	0	0	0	0
9.42	12	32	50	1	1	0	0
5.5	12	20	38	1	0	0	0
3.75	15	4	25	0	1	0	0
3.5	12	34	52	1	0	0	0
5.8	13	5	24	0	0	0	0
12	17	13	36	1	0	1	0
5	14	17	37	1	0	0	1
8.75	13	10	29	1	1	0	1
10	16	7	29	1	0	0	1
8.5	12	25	43	0	0	0	1
8.63	12	18	36	1	0	0	1
9	16	27	49	1	0	1	1
5.5	16	2	24	0	0	0	1
11.11	13	13	32	1	0	0	0
10	14	24	44	0	0	0	1
5.2	18	13	37	1	1	0	1
8	14	15	35	0	0	0	1
3.56	12	12	30	0	1	0	1
5.2	12	24	42	1	0	0	1
11.67	12	43	61	1	0	0	1
11.32	12	13	31	1	0	1	1
7.5	12	16	34	1	1	0	1
5.5	11	24	41	1	0	0	1
5	16	4	26	1	1	0	1
7.75	12	24	42	1	0	0	1
5.25	12	45	63	1	0	0	1
9	12	20	38	1	0	0	0
9.65	12	38	56	1	0	0	1
5.21	18	10	34	1	1	0	0
7	11	16	33	1	0	0	1
12.16	12	32	50	1	1	0	1
5.25	16	2	24	0	1	0	1
10.32	13	28	47	0	1	0	1
3.35	16	3	25	0	0	0	0
7.7	13	8	27	0	0	0	1
9.17	12	44	62	1	0	1	1
8.43	12	12	30	1	1	0	0
4	12	8	26	1	1	0	0
4.13	12	4	22	1	0	0	1
3	12	28	46	1	1	0	1
4.25	13	0	19	0	1	0	1
7.53	14	1	21	0	1	0	0
10.53	14	12	32	1	0	1	1
5	12	39	57	1	0	0	1
15.03	12	24	42	1	0	0	1
11.25	17	32	55	1	0	0	1
6.25	16	4	26	0	0	0	0
3.5	12	25	43	0	0	0	1
6.85	12	8	26	0	0	0	0
12.5	13	16	35	1	0	0	1
12	12	5	23	0	1	0	0
6	13	31	50	0	0	0	0
9.5	12	25	43	0	0	0	1
4.1	12	15	33	1	0	0	1
10.43	14	15	35	1	1	0	1
5	12	0	18	0	0	0	1
7.69	12	19	37	1	0	0	0
5.5	12	21	39	0	0	0	1
6.4	12	6	24	0	0	0	1
12.5	12	14	32	1	0	0	1
6.25	13	30	49	1	0	0	1
8	12	8	26	0	0	0	1
9.6	9	33	48	0	0	0	0
9.1	13	16	35	0	0	0	0
7.5	12	20	38	0	1	0	1
5	13	6	25	1	1	0	1
7	12	10	28	1	0	0	1
3.55	13	1	20	0	1	0	1
8.5	12	2	20	0	1	0	0
4.5	13	0	19	0	1	0	1
7.88	16	17	39	1	0	0	0
5.25	12	8	26	0	0	0	1
5	12	4	22	0	1	0	0
9.33	12	15	33	0	0	0	1
10.5	12	29	47	1	0	0	1
7.5	12	23	41	1	1	0	1
9.5	12	39	57	1	1	0	1
9.6	12	14	32	1	1	0	1
5.87	17	6	29	0	1	0	1
11.02	14	12	32	1	1	0	0
5	12	26	44	0	1	0	1
5.62	14	32	52	1	0	0	1
12.5	15	6	27	1	0	0	1
10.81	12	40	58	1	0	0	1
5.4	12	18	36	1	0	1	1
7	11	12	29	0	0	0	1
4.59	12	36	54	1	1	0	1
6	12	19	37	1	0	0	1
11.71	16	42	64	0	0	1	1
5.62	13	2	21	1	0	0	1
5.5	12	33	51	1	0	0	1
4.85	12	14	32	1	1	0	1
6.75	12	22	40	0	0	0	0
4.25	12	20	38	1	0	0	1
5.75	12	15	33	1	0	0	1
3.5	12	35	53	1	0	0	0
3.35	12	7	25	1	0	0	1
10.62	12	45	63	0	0	1	1
8	12	9	27	0	0	0	1
4.75	12	2	20	1	1	0	1
8.5	17	3	26	0	1	0	0
8.85	14	19	39	1	0	0	1
8	12	14	32	1	1	0	1
6	4	54	64	1	0	0	0
7.14	14	17	37	1	0	0	0
3.4	8	29	43	1	0	0	1
6	15	26	47	0	1	0	1
3.75	2	16	24	0	0	0	0
8.89	8	29	43	0	0	0	1
4.35	11	20	37	1	0	0	1
13.1	10	38	54	1	1	0	1
4.35	8	37	51	1	1	0	1
3.5	9	48	63	0	0	0	0
3.8	12	16	34	0	0	0	1
5.26	8	38	52	1	0	0	1
3.35	14	0	20	0	0	0	0
16.26	12	14	32	0	0	0	0
4.25	12	2	20	1	0	0	1
4.5	16	21	43	1	0	0	0
8	13	15	34	1	0	0	1
4	16	20	42	0	0	0	1
7.96	14	12	32	1	0	0	1
4	12	7	25	0	1	0	0
4.15	11	4	21	1	0	0	0
5.95	13	9	28	1	1	0	0
3.6	12	43	61	1	1	0	1
8.75	10	19	35	0	1	0	0
3.4	8	49	63	0	0	0	1
4.28	12	38	56	1	0	0	1
5.35	12	13	31	1	0	0	1
5	12	14	32	1	0	0	1
7.65	12	20	38	0	0	0	0
6.94	12	7	25	0	0	0	1
7.5	12	9	27	1	0	1	1
3.6	12	6	24	0	0	0	1
1.75	12	5	23	1	1	0	1
3.45	13	1	20	0	1	0	1
9.63	14	22	42	1	0	0	0
8.49	12	24	42	1	0	0	1
8.99	12	15	33	0	0	0	1
3.65	11	8	25	1	1	0	1
3.5	11	17	34	1	1	0	1
3.43	12	2	20	0	1	0	0
5.5	12	20	38	1	1	0	0
6.93	12	26	44	1	0	0	0
3.51	10	37	53	1	1	0	1
3.75	12	41	59	0	0	0	1
4.17	12	27	45	1	0	0	1
9.57	12	5	23	1	0	0	1
14.67	14	16	36	1	0	0	0
12.5	14	19	39	1	0	0	1
5.5	12	10	28	1	0	0	0
5.15	13	1	20	0	1	0	0
8	12	43	61	1	0	0	1
5.83	13	3	22	0	0	0	0
3.35	12	0	18	0	0	0	1
7	12	26	44	1	1	0	1
10	10	25	41	1	0	0	1
8	12	15	33	1	0	0	1
6.88	14	10	30	0	1	0	1
5.55	11	45	62	0	0	0	1
7.5	11	3	20	0	0	0	0
8.93	8	47	61	1	0	0	0
9	16	6	28	1	0	0	1
3.5	10	33	49	0	1	0	1
5.77	16	3	25	0	0	1	0
25	14	4	24	0	0	0	0
6.85	14	34	54	1	0	0	0
6.5	11	39	56	1	1	0	0
3.75	12	17	35	1	1	0	1
3.5	9	47	62	1	0	0	0
4.5	11	2	19	0	0	0	0
2.01	13	0	19	0	1	0	0
4.17	14	24	44	0	0	0	1
13	12	25	43	1	0	0	0
3.98	14	6	26	0	0	0	1
7.5	12	10	28	0	0	0	1
13.12	12	33	51	1	0	0	1
4	12	12	30	0	0	0	0
3.95	12	9	27	1	1	0	1
13	11	18	35	1	1	0	0
9	12	10	28	1	0	0	0
4.55	8	45	59	0	1	0	1
9.5	9	46	61	1	0	0	1
4.5	7	14	27	1	1	0	0
8.75	11	36	53	0	0	0	1
10	13	34	53	1	0	0	0
18	18	15	39	1	0	0	0
24.98	17	31	54	1	0	1	0
12.05	16	6	28	0	0	1	1
22	14	15	35	1	1	0	0
8.75	12	30	48	1	0	0	0
22.2	18	8	32	1	0	0	0
17.25	18	5	29	1	0	1	0
6	17	3	26	0	0	0	1
8.06	13	17	36	1	1	0	0
9.24	16	5	27	1	0	1	0
12	14	10	30	1	0	0	1
10.61	15	33	54	0	0	0	1
5.71	18	3	27	1	0	0	0
10	16	0	18	0	0	0	1
17.5	16	13	35	1	1	0	0
15	18	12	36	1	0	0	0
7.78	16	6	28	1	0	0	1
7.8	17	7	30	1	0	0	0
10	16	14	36	1	1	0	0
24.98	17	5	28	0	0	0	1
10.28	15	10	31	1	1	0	1
15	18	11	35	1	0	0	1
12	17	24	47	1	0	0	1
10.58	16	9	31	0	0	1	0
5.85	18	12	36	1	1	0	0
11.22	18	19	43	1	0	0	0
8.56	14	14	34	1	0	0	1
13.89	16	17	39	0	0	1	1
5.71	18	7	31	0	1	0	0
15.79	18	7	31	1	0	0	0
7.5	16	22	44	1	0	0	1
11.25	12	28	46	1	0	0	1
6.15	16	16	38	0	0	0	1
13.45	16	16	38	0	1	0	0
6.25	16	7	29	1	0	0	1
6.5	12	11	29	0	0	0	1
12	12	11	29	1	0	0	1
8.5	12	16	34	0	0	0	1
8	18	33	57	0	0	0	0
5.75	12	21	39	1	1	0	1
15.73	16	4	26	1	0	1	0
9.86	15	13	34	1	0	0	0
13.51	18	14	38	1	0	0	0
5.4	16	10	32	1	0	0	1
6.25	18	14	38	1	1	0	0
5.5	16	29	51	1	1	0	0
5	12	4	22	0	0	0	0
6.25	18	27	51	1	0	0	0
5.75	12	3	21	1	0	0	0
20.5	16	14	36	1	1	0	0
5	14	0	20	1	0	0	0
7	18	33	57	1	0	0	0
18	16	38	60	1	1	0	0
12	18	18	42	1	0	0	1
20.4	17	3	26	0	0	1	0
22.2	18	40	64	0	0	0	1
16.42	14	19	39	0	0	1	0
8.63	14	4	24	0	0	0	1
19.38	16	11	33	1	0	0	1
14	16	16	38	1	0	0	1
10	14	22	42	1	0	0	0
15.95	17	13	36	0	0	0	1
20	16	28	50	1	1	0	1
10	16	10	32	1	0	0	1
24.98	16	5	27	0	1	0	1
11.25	15	5	26	0	0	0	0
22.83	18	37	61	0	0	1	1
10.2	17	26	49	1	0	0	1
10	16	4	26	1	1	0	1
14	18	31	55	0	0	0	1
12.5	17	13	36	1	0	0	1
5.79	12	42	60	1	0	0	1
24.98	17	18	41	1	0	0	0
4.35	12	3	21	1	0	0	1
11.25	17	10	33	0	0	0	1
6.67	16	10	32	0	0	0	1
8	16	17	39	1	0	0	1
18.16	18	7	31	1	0	0	0
12	16	14	36	1	0	0	1
8.89	16	22	44	1	0	0	1
9.5	17	14	37	1	0	0	1
13.65	16	11	33	1	0	0	0
12	18	23	47	1	0	0	0
15	12	39	57	1	0	0	0
12.67	16	15	37	1	0	0	0
7.38	14	15	35	0	0	0	1
15.56	16	10	32	0	0	0	0
7.45	12	25	43	0	1	0	1
6.25	14	12	32	1	0	0	1
6.25	16	7	29	1	1	0	1
9.37	17	7	30	1	0	0	0
22.5	16	17	39	1	0	1	0
7.5	16	10	32	1	0	0	0
7	17	2	25	1	1	0	0
5.75	9	34	49	1	1	0	1
7.67	15	11	32	1	0	0	1
12.5	15	10	31	0	0	0	0
16	12	12	30	1	1	0	0
11.79	16	6	28	0	0	0	1
11.36	18	5	29	0	0	0	0
6.1	12	33	51	1	0	0	1
23.25	17	25	48	1	0	0	1
19.88	12	13	31	1	1	0	0
15.38	16	33	55	1	0	1	0
